Namespace(batch_size=32, epochs=200, eval=0, exp_name='32121++', lr=0.001, model_path='checkpoints/32121+/best_model.t7', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 2 devices
Test 106, loss: 1.450896, test acc: 0.923420, test avg acc: 0.899541
Train 107, loss: 1.398228, train acc: 0.975977, train avg acc: 0.963315
Test 107, loss: 1.462036, test acc: 0.918963, test avg acc: 0.890919
Train 108, loss: 1.395442, train acc: 0.976486, train avg acc: 0.964413
Test 108, loss: 1.467553, test acc: 0.918963, test avg acc: 0.888041
Train 109, loss: 1.400860, train acc: 0.975265, train avg acc: 0.962507
Test 109, loss: 1.449687, test acc: 0.931118, test avg acc: 0.889820
Max Acc:0.931118
Train 110, loss: 1.396647, train acc: 0.973534, train avg acc: 0.959218
Test 110, loss: 1.447383, test acc: 0.927472, test avg acc: 0.890291
Train 111, loss: 1.394653, train acc: 0.976792, train avg acc: 0.964601
Test 111, loss: 1.457100, test acc: 0.921394, test avg acc: 0.885674
Train 112, loss: 1.391607, train acc: 0.977504, train avg acc: 0.965472
Test 112, loss: 1.451561, test acc: 0.928687, test avg acc: 0.898331
Train 113, loss: 1.392287, train acc: 0.976690, train avg acc: 0.964243
Test 113, loss: 1.485999, test acc: 0.914506, test avg acc: 0.887529
Train 114, loss: 1.394045, train acc: 0.977809, train avg acc: 0.966510
Test 114, loss: 1.473874, test acc: 0.914100, test avg acc: 0.896634
Train 115, loss: 1.390028, train acc: 0.977504, train avg acc: 0.966127
Test 115, loss: 1.469380, test acc: 0.914100, test avg acc: 0.894797
Train 116, loss: 1.388216, train acc: 0.979743, train avg acc: 0.969040
Test 116, loss: 1.458215, test acc: 0.922204, test avg acc: 0.890744
Train 117, loss: 1.383359, train acc: 0.981169, train avg acc: 0.971341
Test 117, loss: 1.452005, test acc: 0.918152, test avg acc: 0.887919
Train 118, loss: 1.383373, train acc: 0.980252, train avg acc: 0.971497
Test 118, loss: 1.458867, test acc: 0.918558, test avg acc: 0.886500
Train 119, loss: 1.380825, train acc: 0.980660, train avg acc: 0.971922
Test 119, loss: 1.464195, test acc: 0.921799, test avg acc: 0.906459
Train 120, loss: 1.379993, train acc: 0.981779, train avg acc: 0.973237
Test 120, loss: 1.451392, test acc: 0.922609, test avg acc: 0.886872
Train 121, loss: 1.381898, train acc: 0.980049, train avg acc: 0.968968
Test 121, loss: 1.447418, test acc: 0.927877, test avg acc: 0.898256
Train 122, loss: 1.376685, train acc: 0.981983, train avg acc: 0.973661
Test 122, loss: 1.459307, test acc: 0.918963, test avg acc: 0.893349
Train 123, loss: 1.372501, train acc: 0.983917, train avg acc: 0.974943
Test 123, loss: 1.442457, test acc: 0.929498, test avg acc: 0.902169
Train 124, loss: 1.374209, train acc: 0.983001, train avg acc: 0.974997
Test 124, loss: 1.457171, test acc: 0.927066, test avg acc: 0.888890
Train 125, loss: 1.373364, train acc: 0.985240, train avg acc: 0.977761
Test 125, loss: 1.481839, test acc: 0.900324, test avg acc: 0.879948
Train 126, loss: 1.368172, train acc: 0.985138, train avg acc: 0.977937
Test 126, loss: 1.446898, test acc: 0.925446, test avg acc: 0.899122
Train 127, loss: 1.369804, train acc: 0.986971, train avg acc: 0.980281
Test 127, loss: 1.443997, test acc: 0.926661, test avg acc: 0.903872
Train 128, loss: 1.363101, train acc: 0.987989, train avg acc: 0.982132
Test 128, loss: 1.452559, test acc: 0.928282, test avg acc: 0.901424
Train 129, loss: 1.367184, train acc: 0.986665, train avg acc: 0.980018
Test 129, loss: 1.442334, test acc: 0.922609, test avg acc: 0.896826
Train 130, loss: 1.362799, train acc: 0.987887, train avg acc: 0.982560
Test 130, loss: 1.453855, test acc: 0.923420, test avg acc: 0.904628
Train 131, loss: 1.365157, train acc: 0.986258, train avg acc: 0.980065
Test 131, loss: 1.457619, test acc: 0.922204, test avg acc: 0.903500
Train 132, loss: 1.365872, train acc: 0.986767, train avg acc: 0.980590
Test 132, loss: 1.443461, test acc: 0.927066, test avg acc: 0.902448
Train 133, loss: 1.358966, train acc: 0.988803, train avg acc: 0.982363
Test 133, loss: 1.439548, test acc: 0.929092, test avg acc: 0.904122
Train 134, loss: 1.357474, train acc: 0.989923, train avg acc: 0.984745
Test 134, loss: 1.434979, test acc: 0.933955, test avg acc: 0.910448
Max Acc:0.933955
Train 135, loss: 1.353615, train acc: 0.989210, train avg acc: 0.982517
Test 135, loss: 1.450472, test acc: 0.925041, test avg acc: 0.898587
Train 136, loss: 1.354385, train acc: 0.988599, train avg acc: 0.983258
Test 136, loss: 1.440903, test acc: 0.925446, test avg acc: 0.901994
Train 137, loss: 1.347917, train acc: 0.991857, train avg acc: 0.987703
Test 137, loss: 1.454810, test acc: 0.920989, test avg acc: 0.898291
Train 138, loss: 1.352584, train acc: 0.991042, train avg acc: 0.986509
Test 138, loss: 1.436864, test acc: 0.928687, test avg acc: 0.898081
Train 139, loss: 1.347270, train acc: 0.991348, train avg acc: 0.986540
Test 139, loss: 1.441745, test acc: 0.926256, test avg acc: 0.905785
Train 140, loss: 1.349804, train acc: 0.992366, train avg acc: 0.988321
Test 140, loss: 1.441620, test acc: 0.927472, test avg acc: 0.904453
Train 141, loss: 1.346671, train acc: 0.991551, train avg acc: 0.987161
Test 141, loss: 1.447771, test acc: 0.925446, test avg acc: 0.905203
Train 142, loss: 1.345568, train acc: 0.992366, train avg acc: 0.988112
Test 142, loss: 1.433174, test acc: 0.927066, test avg acc: 0.904407
Train 143, loss: 1.346292, train acc: 0.992162, train avg acc: 0.987135
Test 143, loss: 1.443626, test acc: 0.927472, test avg acc: 0.897047
Train 144, loss: 1.342958, train acc: 0.993282, train avg acc: 0.989283
Test 144, loss: 1.430834, test acc: 0.931118, test avg acc: 0.903041
Train 145, loss: 1.342636, train acc: 0.992875, train avg acc: 0.988425
Test 145, loss: 1.437313, test acc: 0.923825, test avg acc: 0.898831
Train 146, loss: 1.338958, train acc: 0.994707, train avg acc: 0.992445
Test 146, loss: 1.435303, test acc: 0.932334, test avg acc: 0.901657
Train 147, loss: 1.342628, train acc: 0.992569, train avg acc: 0.988571
Test 147, loss: 1.427520, test acc: 0.931118, test avg acc: 0.902244
Train 148, loss: 1.337652, train acc: 0.994910, train avg acc: 0.992370
Test 148, loss: 1.433846, test acc: 0.934360, test avg acc: 0.905703
Max Acc:0.934360
Train 149, loss: 1.337542, train acc: 0.994809, train avg acc: 0.992306
Test 149, loss: 1.433376, test acc: 0.932739, test avg acc: 0.911744
Train 150, loss: 1.336942, train acc: 0.995928, train avg acc: 0.994291
Test 150, loss: 1.429109, test acc: 0.929498, test avg acc: 0.900535
Train 151, loss: 1.333567, train acc: 0.996844, train avg acc: 0.994656
Test 151, loss: 1.426701, test acc: 0.933144, test avg acc: 0.906826
Train 152, loss: 1.333107, train acc: 0.996437, train avg acc: 0.995186
Test 152, loss: 1.447883, test acc: 0.922204, test avg acc: 0.899081
Train 153, loss: 1.331551, train acc: 0.995827, train avg acc: 0.992954
Test 153, loss: 1.439426, test acc: 0.923015, test avg acc: 0.898453
Train 154, loss: 1.332382, train acc: 0.995216, train avg acc: 0.992957
Test 154, loss: 1.435798, test acc: 0.923825, test avg acc: 0.901453
Train 155, loss: 1.332692, train acc: 0.996336, train avg acc: 0.994535
Test 155, loss: 1.435872, test acc: 0.930308, test avg acc: 0.903041
Train 156, loss: 1.333029, train acc: 0.996437, train avg acc: 0.994720
Test 156, loss: 1.433022, test acc: 0.927877, test avg acc: 0.899535
Train 157, loss: 1.330418, train acc: 0.995928, train avg acc: 0.993330
Test 157, loss: 1.431987, test acc: 0.931524, test avg acc: 0.907994
Train 158, loss: 1.327402, train acc: 0.997048, train avg acc: 0.995042
Test 158, loss: 1.436895, test acc: 0.923825, test avg acc: 0.896244
Train 159, loss: 1.329333, train acc: 0.996234, train avg acc: 0.994404
Test 159, loss: 1.434388, test acc: 0.927066, test avg acc: 0.897831
Train 160, loss: 1.327489, train acc: 0.996437, train avg acc: 0.995037
Test 160, loss: 1.431877, test acc: 0.929498, test avg acc: 0.903413
Train 161, loss: 1.326954, train acc: 0.996437, train avg acc: 0.994492
Test 161, loss: 1.428616, test acc: 0.933144, test avg acc: 0.905116
Train 162, loss: 1.325706, train acc: 0.997252, train avg acc: 0.994515
Test 162, loss: 1.431159, test acc: 0.932334, test avg acc: 0.908779
Train 163, loss: 1.326342, train acc: 0.997048, train avg acc: 0.995997
Test 163, loss: 1.428456, test acc: 0.932334, test avg acc: 0.903122
Train 164, loss: 1.324267, train acc: 0.997761, train avg acc: 0.996532
Test 164, loss: 1.426875, test acc: 0.925851, test avg acc: 0.901041
Train 165, loss: 1.325415, train acc: 0.996641, train avg acc: 0.995380
Test 165, loss: 1.431894, test acc: 0.931929, test avg acc: 0.903872
Train 166, loss: 1.323369, train acc: 0.997252, train avg acc: 0.995184
Test 166, loss: 1.430094, test acc: 0.927877, test avg acc: 0.901413
Train 167, loss: 1.320565, train acc: 0.998168, train avg acc: 0.997468
Test 167, loss: 1.430019, test acc: 0.935575, test avg acc: 0.911453
Max Acc:0.935575
Train 168, loss: 1.323152, train acc: 0.996946, train avg acc: 0.995684
